Season,Category,Rank,Player,Share
2002/2003,Player of the season,1,Gareth Southgate, 0.47 
2002/2003,Player of the season,2,Jonathan Greening, 0.35 
2002/2003,Player of the season,3,Geremi, 0.09 
2002/2003,Young player,1,Stuart Parnaby, 0.85 
2002/2003,Young player,2,Andrew Davies, 0.07 
2002/2003,Young player,3,David Murphy, 0.05 
2002/2003,Most improved,1,Jonathan Greening, 0.74 
2002/2003,Most improved,2,Joseph Desire Job, 0.12 
2002/2003,Most improved,3,Stuart Parnaby, 0.05 
2002/2003,Most disappointing,1,Massimo Maccarone, 0.65 
2002/2003,Most disappointing,2,Alen Boksic, 0.14 
2002/2003,Most disappointing,3,Michael Ricketts, 0.08 
2002/2003,Best signing,1,Juninho, 0.36 
2002/2003,Best signing,2,Malcolm Christie, 0.23 
2002/2003,Best signing,3,George Boateng, 0.20 
2002/2003,Should never have let go,1,Robbie Mustoe, 0.43 
2002/2003,Should never have let go,2,Didn't mind any of them going, 0.26 
2002/2003,Should never have let go,3,Gianluca Festa, 0.07 
2002/2003,Best looking,1,Franck Queudrue, 0.62 
2002/2003,Best looking,2,Ugo Ehiogu, 0.08 
2002/2003,Best looking,3,Chris Riggott, 0.05 
2002/2003,Ugliest/un-coolest player,1,Carlos Marinelli, 0.43 
2002/2003,Ugliest/un-coolest player,2,Jonathan Greening, 0.10 
2002/2003,Ugliest/un-coolest player,3,Jason Gavin, 0.09 
2002/2003,Best haircut,1,Massimo Maccarone, 0.29 
2002/2003,Best haircut,2,Franck Queudrue, 0.28 
2002/2003,Best haircut,3,Andrew Davies, 0.17 
2002/2003,Worst haircut,1,Jonathan Greening, 0.26 
2002/2003,Worst haircut,2,Andrew Davies, 0.21 
2002/2003,Worst haircut,3,Franck Queudrue, 0.19 
2002/2003,Dirtiest player,1,Franck Queudrue, 0.60 
2002/2003,Dirtiest player,2,George Boateng, 0.28 
2002/2003,Dirtiest player,3,Colin Cooper, 0.07 
2002/2003,Should get rid of,1,Noel Whelan, 0.54 
2002/2003,Should get rid of,2,Allan Jonston, 0.49 
2002/2003,Should get rid of,3,Carlos Marinelli, 0.48 
2012/2013,Player of the season,1,Jason Steele,
2013/2014,Player of the season,1,Albert Adomah,
2013/2014,Player of the season,2,George Friend,
2013/2014,Young player,1,Ben Gibson,
2013/2014,Best signing,1,Kenneth Omeruo,
2013/2014,Best signing,2,Shay Given,
2013/2014,Best signing,3,Albert Adomah,
2013/2014,Should never have let go,1,Lukas Jutkiewicz,
2013/2014,Should never have let go,2,Shay Given,
2013/2014,Best looking,1,George Friend,
2013/2014,Ugliest/un-coolest player,1,Dean Whitehead,
2013/2014,Best haircut,1,George Friend,
2013/2014,Best haircut,2,Jacob Butterfield,
2013/2014,Best haircut,3,Kei Kamara,
2013/2014,Worst haircut,1,Curtis Main,
2013/2014,Dirtiest player,1,Grant Leadbitter,
2013/2014,Dirtiest player,2,Dean Whitehead,
2015/2016,Player of the season,1,Adam Clayton, 0.80 
2015/2016,Player of the season,2,Dani Ayala, 0.07 
2015/2016,Player of the season,3,George Friend, 0.07 
2015/2016,Young player,1,Ben Gibson, 0.53 
2015/2016,Young player,2,Dael Fry, 0.37 
2015/2016,Young player,3,Harrison Chapman, 0.04 
2015/2016,Best signing,1,Gaston Ramirez, 0.81 
2015/2016,Best signing,2,Jordan Rhodes, 0.15 
2015/2016,Dirtiest player,1,Adam Clayton,
2015/2016,Best looking,1,George Friend, 0.85 
2015/2016,Best looking,2,Kike Sola, 0.03 
2015/2016,Best looking,3,Stewart Downing, 0.02 
2015/2016,Best haircut,1,Adam Clayton, 0.79 
2015/2016,Worst haircut,1,Grant Leadbitter, 0.92 
2015/2016,Ugliest/un-coolest player,1,Grant Leadbitter, 0.57 
2015/2016,Ugliest/un-coolest player,2,Christhian Stuani, 0.11 
2015/2016,Ugliest/un-coolest player,3,Dani Ayala, 0.08 
