R,Name,P,KP,Pass,PA%,C,AC,LB,ALB,TB,ATB,Rt,Key Events
1,Dimitrios Konstantopoulos,GK,0,29,34,0,0,28,9,0,0,6.96,
2,Damiá64',DR,0,23,83,1,0,4,3,0,0,6.46,
3,Kenneth Omeruo,DC,0,44,59,0,0,12,4,0,0,7.63,
4,Daniel Ayala,DC,0,23,65,0,0,8,3,0,0,7.55,
5,George Friend,DL,0,46,72,2,0,9,1,0,0,6.79,
6,Albert Adomah,MR,2,16,81,10,3,1,0,0,0,7.32,
7,Grant Leadbitter,MC,1,48,85,6,1,6,5,0,0,6.91,
8,Adam Clayton,MC,0,50,88,0,0,7,4,0,0,7.1,
9,Adam Reach,ML,0,41,73,0,0,5,1,0,0,6.74,
10,Jelle Vossen66',FW,0,16,75,0,0,0,0,0,0,6.23,
11,Kike87',FW,0,33,67,0,0,1,0,0,0,7.58,
12,Lee Tomlin66',Sub,1,6,83,0,0,2,2,0,0,6.42,
13,Dean Whitehead,Sub,0,0,0,0,0,0,0,0,0,6.03,
14,Patrick Bamford87',Sub,0,2,100,0,0,0,0,0,0,6.05,
15,Emilio Nsue Lopez64',Sub,0,9,67,0,0,2,1,0,0,6.23,
16,Yanic Wildschut,Sub,0,0,0,0,0,0,0,0,0,undefined,
17,Jamal Blackman,Sub,0,0,0,0,0,0,0,0,0,undefined,
18,Ben Gibson,Sub,0,0,0,0,0,0,0,0,0,undefined,
