R,,Name,Shots,ShotsOT,KeyPasses,PA%,AerialsWon,Touches,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 36, GK",0,0,0,31.3,0,53,6.35,
2,,"Emilio Nsue Lopez 25, DR",1,0,2,70.7,1,59,6.39,
3,,"Kenneth Omeruo (61?)21, DC",1,0,0,52.4,3,38,6.62,
4,,"Daniel Ayala 24, DC",3,0,0,57.7,7,51,7.31,
5,,"George Friend 27, DL",2,1,1,71.1,3,65,7.05,
6,,"Albert Adomah (45?)27, MR",1,0,0,57.1,0,21,5.63,
7,,"Adam Clayton 26, MC",0,0,1,79.1,1,78,6.9,
8,,"Grant Leadbitter 29, MC",0,0,1,70.6,1,68,6.59,
9,,"Adam Reach 21, ML",1,1,2,79.2,0,40,6.61,
10,,"Jelle Vossen (61?)25, FW",0,0,1,79,2,27,5.77,
11,,"Patrick Bamford 21, FW",0,0,1,64,0,34,5.6,
12,,"Milos Veljkovic (61?)19, Sub",0,0,0,81.8,0,14,6.19,
13,,"Kike (61?)25, Sub",1,0,0,85.7,0,12,6.01,
14,,"Lee Tomlin (45?)26, Sub",2,1,0,77.3,0,35,6.21,
15,,"Yanic Wildschut 23, Sub",0,0,0,0,0,0,-,
16,,"Tomás Mejías 25, Sub",0,0,0,0,0,0,-,
17,,"Ben Gibson 22, Sub",0,0,0,0,0,0,-,
18,,"Dean Whitehead 33, Sub",0,0,0,0,0,0,-,
