R,Name,P,S,SoT,KP,PA%,AD,T,Rt,Key Events
1,Tomás Mejías,GK,0,0,0,38,0,31,6.3,
2,Damiá,DR,0,0,0,86,2,66,6.92,
3,Kenneth Omeruo,DC,0,0,0,82,3,68,6.74,
4,Sebastian Hines,DC,0,0,0,78,5,61,6.62,
5,George Friend,DL,0,0,2,84,2,92,7.01,
6,Emilio Nsue Lopez63',MR,1,0,3,87,0,45,6.49,
7,Grant Leadbitter,MC,2,1,1,91,1,107,7.32,
8,Adam Clayton79',MC,3,0,1,85,0,92,6.76,
9,Albert Adomah,ML,1,0,1,77,0,42,6.48,
10,Lee Tomlin89',FW,5,3,0,88,0,46,6.9,
11,Kike,FW,6,1,4,86,0,55,7.24,
12,Dimitrios Konstantopoulos,Sub,0,0,0,0,0,0,undefined,
13,Luke Williams,Sub,0,0,0,0,0,0,undefined,
14,James Husband,Sub,0,0,0,0,0,0,undefined,
15,Dean Whitehead89',Sub,0,0,0,100,0,4,6.02,
16,Adam Reach63',Sub,1,1,2,88,0,24,7.08,
17,Bradley Fewster,Sub,0,0,0,0,0,0,undefined,
18,Daniel Ayala79',Sub,0,0,0,40,1,7,6.16,
