R,,Player,CM,KG,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
1,,"Lee Tomlin26, AM(C),FW",180,74,35(10),3120,10,1.5,31.2,79.6,-,2.5,0.1,6.88
2,,"Grant Leadbitter29, DM(C)",174,68,43(3),3888,9,2.4,51.8,82,2.6,4.5,0.1,7.38
3,,"Adam Reach22, AM(L)",185,73,27(13),2519,6,0.9,22.8,72.9,0.6,0.9,-,6.75
4,,"Albert Adomah27, AM(LR)",185,73,43(3),3744,4,1.1,25.4,72.8,1.2,0.8,-,7.02
5,,"Adam Clayton26, M(C)",175,75,40(4),3474,3,1.2,47.8,83.1,0.5,4.4,0.1,7.05
6,,"Emilio Nsue Lopez25, D(R),M(CLR),FW",182,75,12(15),1230,3,0.8,21.4,79.5,0.4,1.1,-,6.44
7,,"Kike25, FW",186,79,26(19),2550,3,0.9,16.2,77.1,-,0.5,-,6.59
8,,"Jelle Vossen26, AM(C),FW",180,70,23(13),1925,3,0.7,15.8,71.3,0.1,0.6,0.1,6.65
9,,"George Friend27, D(L)",188,83,45,4025,2,0.9,42.1,72.8,0.5,2,-,7.21
10,,"Patrick Bamford21, AM(CLR),FW",185,71,34(6),3005,2,0.7,19.5,71,0.2,0.4,-,6.82
11,,"Ben Gibson22, D(CL)",185,78,36(3),3218,1,0.1,38,72.3,-,2.9,-,6.79
12,,"Kenneth Omeruo21, D(C)",168,67,17(2),1565,1,0.1,40.6,70.8,-,4.5,-,7.03
13,,"Tomas Kalas22, D(CR)",182,73,16(1),1467,1,0.7,33.8,71,0.4,2.1,-,7.31
14,,"Adam Forshaw23, M(C)",185,71,6(14),718,-,1,20,82.8,0.5,1,0.1,6.5
15,,"Damiá33, D(LR),M(R)",188,79,6,470,-,0.2,37.5,74.7,0.3,2.7,-,6.55
16,,"Daniel Ayala24, D(C)",190,81,32(1),2760,-,0.1,34.7,69.8,-,3.1,-,7.43
17,,"Dean Whitehead33, D(R),DM(C),M(R)",180,77,14(7),1192,-,0.2,33.5,81.8,-,2.7,-,6.48
18,,"Dimitrios Konstantopoulos36, GK",193,90,43,3823,-,-,26,38,-,6.5,-,6.75
19,,"Dwight Tiendalli29, D(LR)",180,69,2,122,-,0.5,35,80,-,1.5,-,6.49
20,,"Emmanuel Ledesma27, AM(LR)",180,77,1,75,-,2,27,74.1,2,5,-,6.84
21,,"Fernando Amorebieta30, D(CL)",192,85,2(3),208,-,0.4,16,72.5,0.2,0.4,-,7.14
22,,"James Husband21, D(L)",180,65,2(1),181,-,0.7,23.7,73.2,-,1.3,-,6.43
23,,"Jonathan Woodgate35, D(CR)",188,80,5(3),509,-,0.1,23,64.7,-,2,-,7.19
24,,"Luke Williams21, FW",185,74,0(4),46,-,-,4.8,89.5,0.3,0.3,-,6.15
25,,"Milos Veljkovic19, D",173,69,1(2),145,-,0.3,22.7,75,-,1.7,0.3,6.55
26,,"Rhys Williams26, D(CR)",187,72,0(1),1,-,-,7,71.4,-,-,-,6
27,,"Ryan Fredericks22, D(R)",190,80,16(1),1337,-,0.7,29.2,71.2,0.8,1.8,-,7.09
28,,"Seb Hines26, D(C)",188,83,3,256,-,0.7,33.3,79,-,4,-,6.74
29,,"Tomás Mejías26, GK",195,84,6(1),586,-,-,19.9,56.1,-,6.9,-,6.26
30,,"Yanic Wildschut23, AM(L)",187,86,3(8),288,-,0.4,8.1,75.3,0.3,0.1,-,6.43
