R,Team,P,W,D,L,GF,GA,Pts,P,W,D,L,GF,GA,Pts,P,W,D,L,GF,GA,Pts
1,Manchester City,46,31,6,9,108,52,99,23,19,3,1,63,19,60,23,12,3,8,45,33,39
2,West Bromwich Albion,46,27,8,11,61,29,89,23,15,4,4,36,11,49,23,12,4,7,25,18,40
3,Wolverhampton Wanderers,46,25,11,10,76,43,86,23,13,4,6,33,18,43,23,12,7,4,43,25,43
4,Millwall,46,22,11,13,69,48,77,23,15,3,5,43,22,48,23,7,8,8,26,26,29
5,Birmingham,46,21,13,12,70,49,76,23,14,4,5,44,20,46,23,7,9,7,26,29,30
6,Norwich,46,22,9,15,60,51,75,23,15,6,2,36,16,51,23,7,3,13,24,35,24
7,Burnley,46,21,12,13,70,62,75,23,11,7,5,39,29,40,23,10,5,8,31,33,35
8,Preston,46,20,12,14,71,59,72,23,13,7,3,45,21,46,23,7,5,11,26,38,26
9,Milton Keynes Dons,46,18,13,15,63,57,67,23,9,8,6,30,22,35,23,9,5,9,33,35,32
10,Crystal Palace,46,20,6,20,70,62,66,23,13,3,7,42,22,42,23,7,3,13,28,40,24
11,Coventry,46,20,6,20,59,53,66,23,12,4,7,33,19,40,23,8,2,13,26,34,26
12,Gillingham,46,18,10,18,64,67,64,23,12,5,6,38,26,41,23,6,5,12,26,41,23
13,Sheffield United,46,15,15,16,53,54,60,23,8,8,7,34,30,32,23,7,7,9,19,24,28
14,Watford,46,16,11,19,62,56,59,23,10,5,8,38,30,35,23,6,6,11,24,26,24
15,Bradford,46,15,10,21,69,76,55,23,10,1,12,41,39,31,23,5,9,9,28,37,24
16,Nottingham Forest,46,12,18,16,50,51,54,23,7,11,5,26,21,32,23,5,7,11,24,30,22
17,Portsmouth,46,13,14,19,60,72,53,23,9,6,8,36,31,33,23,4,8,11,24,41,20
18,Walsall,46,13,12,21,51,71,51,23,10,6,7,29,27,36,23,3,6,14,22,44,15
19,Grimsby,46,12,14,20,50,72,50,23,9,7,7,34,28,34,23,3,7,13,16,44,16
20,Sheffield Wednesday,46,12,14,20,49,71,50,23,6,7,10,28,37,25,23,6,7,10,21,34,25
21,Rotherham,46,10,19,17,52,66,49,23,7,13,3,32,29,34,23,3,6,14,20,37,15
22,Crewe,46,12,13,21,47,76,49,23,8,8,7,23,32,32,23,4,5,14,24,44,17
23,Barnsley,46,11,15,20,59,86,48,23,9,9,5,37,33,36,23,2,6,15,22,53,12
24,Stockport,46,6,8,32,42,102,26,23,5,1,17,19,44,16,23,1,7,15,23,58,10
