R,Team,Own Half,Middle,Opposition Half
1,Yeovil,33%,39%,27%
2,Watford,33%,41%,26%
3,Bournemouth,33%,40%,27%
4,Barnsley,33%,42%,26%
5,Bolton,33%,41%,26%
6,Doncaster,33%,39%,28%
7,Birmingham,32%,39%,28%
8,Middlesbrough,32%,41%,27%
9,Brighton,32%,42%,25%
10,Burnley,31%,40%,29%
11,Huddersfield,31%,42%,27%
12,Derby,30%,42%,28%
13,Nottingham Forest,30%,40%,29%
14,Ipswich,30%,38%,32%
15,Blackpool,30%,43%,26%
16,Wigan,30%,41%,29%
17,Blackburn,30%,40%,30%
18,Millwall,30%,40%,30%
19,Sheffield Wednesday,30%,43%,28%
20,Charlton,30%,44%,27%
21,Queens Park Rangers,30%,44%,26%
22,Leeds,30%,42%,29%
23,Leicester,29%,40%,31%
24,Reading,29%,42%,29%
