R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Derby,32,1,7,5,1
2,Leicester,31,2,3,8,2
3,Burnley,29,0,5,2,1
4,Nottingham Forest,26,0,7,3,2
5,Watford,25,1,6,7,0
6,Leeds,25,2,7,1,0
7,Sheffield Wednesday,24,0,11,2,2
8,Blackburn,23,0,10,1,0
9,Bournemouth,23,2,10,5,0
10,Bolton,22,0,7,0,0
11,Huddersfield,22,0,8,3,1
12,Birmingham,22,0,5,2,0
13,Queens Park Rangers,22,3,9,3,1
14,Middlesbrough,19,2,11,2,1
15,Reading,19,2,11,3,3
16,Ipswich,19,1,11,2,2
17,Brighton,19,2,6,2,2
18,Barnsley,17,0,1,4,0
19,Wigan,17,1,10,4,3
20,Doncaster,14,0,10,2,1
21,Millwall,13,2,5,4,1
22,Charlton,12,0,9,0,0
23,Blackpool,12,0,4,3,1
24,Yeovil,9,0,6,3,1
