R,Team,Shots pg,Shots OT pg,Dribbles pg,Fouled pg,Rating
1,Hull,17.3,5.6,10.7,10.3,7.08
2,Middlesbrough,15.8,5.2,6.8,10.4,7.04
3,Burnley,12.6,4.2,5.1,9.8,6.98
4,Sheffield Wednesday,14.5,5.3,6.8,11.2,6.95
5,Derby,16.3,4.9,8.1,12.3,6.95
6,Queens Park Rangers,15.1,5.2,7.4,9.1,6.94
7,Brighton,15.3,5.1,8.3,10.4,6.91
8,Cardiff,14.5,5.1,6.6,9,6.87
9,Bolton,13.8,4.2,7,11.5,6.86
10,Reading,16.1,4.2,7.4,12.2,6.85
11,Nottingham Forest,15.6,4.7,7.8,10.1,6.85
12,Wolverhampton Wanderers,12,3.7,7.7,11.4,6.83
13,Blackburn,13.2,4.8,7.3,10.9,6.82
14,Fulham,14.4,4.9,7,10.4,6.78
15,Bristol City,12.9,4.7,7.3,11.2,6.78
16,Brentford,14.8,5.1,8,10.9,6.78
17,Ipswich,14.2,4.3,5,9.9,6.77
18,Rotherham,14.1,4.4,5.8,10.2,6.77
19,Birmingham,12.8,4,6.2,12.5,6.75
20,Preston,13.9,3.9,5.1,11.5,6.74
21,Huddersfield,14.2,4.3,9.4,10.7,6.74
22,Leeds,12.5,3.1,7.1,13.3,6.73
23,Charlton,13.1,4.5,8.5,10,6.71
24,Milton Keynes Dons,13.6,3.9,7,14.5,6.62
