R,Team,Left Side,Attempts from the middle,Right Side
1,Brighton,25%,57%,18%
2,Wigan,23%,60%,17%
3,Ipswich,23%,62%,15%
4,Birmingham,22%,58%,20%
5,Middlesbrough,22%,56%,22%
6,Watford,22%,60%,18%
7,Charlton,22%,65%,13%
8,Burnley,22%,64%,14%
9,Bolton,22%,63%,15%
10,Reading,22%,59%,19%
11,Sheffield Wednesday,21%,65%,14%
12,Nottingham Forest,21%,62%,17%
13,Barnsley,21%,63%,15%
14,Blackpool,20%,57%,23%
15,Yeovil,19%,62%,19%
16,Queens Park Rangers,19%,59%,22%
17,Blackburn,19%,66%,15%
18,Leeds,18%,64%,18%
19,Doncaster,18%,62%,20%
20,Huddersfield,18%,62%,20%
21,Bournemouth,18%,61%,21%
22,Millwall,17%,69%,14%
23,Leicester,17%,65%,18%
24,Derby,15%,62%,23%
