R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Middlesbrough,9%,47%,44%
2,Watford,9%,50%,41%
3,Leicester,8%,48%,44%
4,Ipswich,8%,49%,43%
5,Sheffield Wednesday,7%,48%,45%
6,Bournemouth,7%,53%,41%
7,Queens Park Rangers,6%,46%,47%
8,Doncaster,6%,53%,41%
9,Blackburn,6%,50%,44%
10,Burnley,6%,47%,46%
11,Nottingham Forest,6%,48%,46%
12,Huddersfield,6%,50%,44%
13,Wigan,6%,54%,41%
14,Birmingham,5%,52%,42%
15,Millwall,5%,49%,47%
16,Reading,5%,47%,47%
17,Bolton,5%,42%,54%
18,Yeovil,5%,48%,47%
19,Barnsley,5%,54%,40%
20,Blackpool,5%,50%,45%
21,Charlton,5%,47%,48%
22,Derby,5%,50%,45%
23,Brighton,4%,47%,49%
24,Leeds,3%,49%,48%
